FileID	SampleID	Species	Site
F04766	18442	uni	pan
F04767	18902	nig	pan
F04768	18917	pue	pan
F04769	18901	nig	pan
F04770	18427	pue	pan
F04771	18446	uni	pan
F04772	18915	pue	pan
F04773	18447	uni	pan
F04774	18435	uni	pan
F04775	18903	nig	pan
F04775	18903	nig	pan
F04776	18424	nig	pan
F04777	18450	uni	pan
F04778	18428	nig	pan
F04779	18440	uni	pan
F04780	18426	pue	pan
F04781	18418	nig	pan
F04782	18907	nig	pan
F04783	18439	uni	pan
F04784	18909	nig	pan
F04785	18432	pue	pan
F04786	18905	nig	pan
F04787	18422	pue	pan
F04788	18454	uni	pan
F04789	18430	pue	pan
F04790	18429	pue	pan
F04790	18429	pue	pan
F04791	18421	pue	pan
F04792	18441	uni	pan
F04793	18436	nig	pan
F04794	18912	pue	pan
F04795	18448	uni	pan
F04796	18906	nig	pan
F04797	18434	pue	pan
F04798	18445	uni	pan
F04799	18419	pue	pan
F04800	18904	nig	pan
F04801	18420	uni	pan
G06203	PL17_89	may	bel
G06204	PL17_95	may	bel
G06205	PL17_101	may	bel
G06206	PL17_119	may	bel
G06207	PL17_120	may	bel
G06208	PL17_121	may	bel
G06209	PL17_122	may	bel
G06210	PL17_123	may	bel
G06211	PL17_124	may	bel
G06212	PL17_126	may	bel
G09451	PL17_160	flo	flo
G15233	PL17_142	gem	flo
G15234	PL17_144	gem	flo
G15235	PL17_145	gem	flo
G15236	PL17_148	gem	flo
G15237	PL17_153	gem	flo
S18151	18151	nig	bel
S18152	18152	pue	bel
S18153	18153	nig	bel
S18154	18154	pue	bel
S18155	18155	nig	bel
S18156	18156	nig	bel
S18157	18157	nig	bel
S18158	18158	nig	bel
S18159	18159	nig	bel
S18161	18161	pue	bel
S18162	18162	nig	bel
S18163	18163	uni	bel
S18165	18165	nig	bel
S18166	18166	pue	bel
S18169	18169	pue	bel
S18171	18171	nig	bel
S18172	18172	pue	bel
S18174	18174	pue	bel
S18175	18175	pue	bel
S18176	18176	pue	bel
S18178	18178	pue	bel
S18179	18179	pue	bel
S18180	18180	pue	bel
S18185	18185	nig	bel
S18187	18187	nig	bel
S18261	18261	uni	bel
S18267	18267	uni	bel
S18274	18274	uni	bel
S18276	18276	uni	bel
S19881	19881	uni	bel
S20092	20092	uni	bel
S20120	20120	uni	bel
S20126	20126	uni	bel
S20128	20128	uni	bel
S20135	20135	uni	bel
S20149	20149	uni	bel
S20551	20551	pue	hon
S20552	20552	pue	hon
S20553	20553	pue	hon
S20554	20554	pue	hon
S20555	20555	pue	hon
S20556	20556	pue	hon
S20558	20558	pue	hon
S20559	20559	pue	hon
S20560	20560	uni	hon
S20561	20561	uni	hon
S20562	20562	uni	hon
S20563	20563	uni	hon
S20564	20564	uni	hon
S20565	20565	uni	hon
S20566	20566	uni	hon
S20567	20567	uni	hon
S20568	20568	uni	hon
S20571	20571	uni	hon
S20572	20572	uni	hon
S20599	20599	nig	hon
S20600	20600	nig	hon
S20601	20601	nig	hon
S20602	20602	nig	hon
S20603	20603	nig	hon
S20604	20604	nig	hon
S20605	20605	nig	hon
S20606	20606	nig	hon
S20607	20607	nig	hon
S20608	20608	nig	hon
S20609	20609	nig	hon
S20610	20610	nig	hon
S20625	20625	pue	hon
S20633	20633	pue	hon
S20635	20635	pue	hon
S20638	20638	pue	hon
STRI-18449	18449	gum	pan
